"filename", "language", "Python", "Shell Script", "JSON", "HTML", "pip requirements", "HTTP", "Properties", "reStructuredText", "Batch", "PowerShell", "C++", "C", "JavaScript", "Ini", "Jinja", "XML", "PostCSS", "SCSS", "Markdown", "ANTLR", "comment", "blank", "total"
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0009_rename_private_final_score_dish_final_score.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0010_dishingredient_nutrition_fields.py", "Python", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 157
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0011_remove_dishingredient_cu_remove_dishingredient_flo_and_more.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 54
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0012_dishingredient_deleted.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0013_remove_dishingredient_id_dishingredient_created_at_and_more.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 36
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0014_dishingredient_custom_name_approval_status.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 41
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0015_dishingredient_source_suggestion_audit.py", "Python", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 66
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0016_alter_dishingredient_approval_status_and_more.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 43
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0017_dishingredient_confidence.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0018_dishalias.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 31
